Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121309-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,TEN@LV,TEN,LV,IR,Shoulder,,,,QB
121309-91390,QB,Joe,Joe Milton III,Milton III,0.6399999856948853,1,6000,DAL@CAR,DAL,CAR,,,,,,QB
121309-63759,RB,Tony,Tony Pollard,Pollard,10.38000030517578,5,6000,TEN@LV,TEN,LV,,,,,,RB/FLEX
121309-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833106995,2,6000,ARI@IND,IND,ARI,,,,,,QB
121309-90406,QB,Zach,Zach Wilson,Wilson,1.5800000429153442,1,6000,LAC@MIA,MIA,LAC,,,,,,QB
121309-120105,QB,Will,Will Howard,Howard,,0,6000,CLE@PIT,PIT,CLE,IR,Hand,,,,QB
121309-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.930000305175781,2,6000,LAR@BAL,LAR,BAL,,,,,,QB
121309-88431,QB,Tyler,Tyler Shough,Shough,0,1,6000,NE@NO,NO,NE,,,,,,QB
121309-70051,QB,Tyler,Tyler Huntley,Huntley,12.731999969482422,5,6000,LAR@BAL,BAL,LAR,,,,,,QB
121309-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,SF@TB,TB,SF,,,,,,QB
121309-25011,TE,Darren,Darren Waller,Waller,16.25,2,6000,LAC@MIA,MIA,LAC,,,,,,TE/FLEX
121309-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,6000,LAR@BAL,LAR,BAL,,,,,,QB
121309-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257485,3,6000,TEN@LV,TEN,LV,,,,,,QB
121309-40407,QB,Joshua,Joshua Dobbs,Dobbs,-0.20000000298023224,1,6000,NE@NO,NE,NO,,,,,,QB
121309-53729,QB,Mason,Mason Rudolph,Rudolph,0.47999998927116394,1,6000,CLE@PIT,PIT,CLE,,,,,,QB
121309-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779099,1,6000,SF@TB,TB,SF,,,,,,QB
121309-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,ARI@IND,ARI,IND,,,,,,QB
121309-30231,QB,Jacoby,Jacoby Brissett,Brissett,0.10000000149011612,2,6000,ARI@IND,ARI,IND,,,,,,QB
121309-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118164,2,6000,NE@NO,NE,NO,,,,,,QB
121309-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,6000,TEN@LV,LV,TEN,,,,,,QB
121309-64051,QB,Drew,Drew Lock,Lock,0.5,1,6000,SEA@JAC,SEA,JAC,,,,,,QB
121309-208467,QB,Cam,Cam Miller,Miller,,0,6000,TEN@LV,LV,TEN,,,,,,QB
121309-40534,QB,Mike,Mike White,White,1.1200000047683716,1,6000,CIN@GB,CIN,GB,,,,,,QB
121309-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,6000,SEA@JAC,JAC,SEA,,,,,,QB
121309-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,6000,CIN@GB,GB,CIN,,,,,,QB
121309-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,6000,CLE@PIT,PIT,CLE,IR,Hamstring,,,,QB
121309-90813,QB,Clayton,Clayton Tune,Tune,-0.3466666539510091,6,6000,CIN@GB,GB,CIN,,,,,,QB
121309-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,CLE@PIT,CLE,PIT,,,,,,QB
121309-61157,QB,Brett,Brett Rypien,Rypien,0,1,6000,CIN@GB,CIN,GB,,,,,,QB
121309-86793,QB,Jake,Jake Haener,Haener,1.7799999713897705,8,6000,NE@NO,NO,NE,,,,,,QB
121309-28434,QB,Trevor,Trevor Siemian,Siemian,,0,6000,TEN@LV,TEN,LV,,,,,,QB
121309-154450,QB,Riley,Riley Leonard,Leonard,,0,6000,ARI@IND,IND,ARI,,,,,,QB
121309-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806193,3,6000,SEA@JAC,SEA,JAC,,,,,,QB
121309-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,SF@TB,SF,TB,,,,,,QB
121309-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338623,2,6000,CIN@GB,CIN,GB,IR,Toe,,,,QB
121309-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,SEA@JAC,JAC,SEA,,,,,,QB
121309-92020,QB,Kenny,Kenny Pickett,Pickett,3.6342857905796597,7,6000,TEN@LV,LV,TEN,,,,,,QB
121309-184183,QB,Shedeur,Shedeur Sanders,Sanders,,0,6000,CLE@PIT,CLE,PIT,,,,,,QB
121309-14225,QB,Andy,Andy Dalton,Dalton,3.109999895095825,2,6000,DAL@CAR,CAR,DAL,,,,,,QB
121309-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,6000,DAL@CAR,CAR,DAL,,,,,,QB
121309-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LAC@MIA,LAC,MIA,,,,,,QB
121309-25079,WR,Stefon,Stefon Diggs,Diggs,11.280000305175781,5,5900,NE@NO,NE,NO,,,,,,WR/FLEX
121309-87770,WR,Chris,Chris Olave,Olave,9.180000305175781,5,5900,NE@NO,NO,NE,,,,,,WR/FLEX
121309-40845,TE,Hunter,Hunter Henry,Henry,10.3,5,5900,NE@NO,NE,NO,,,,,,TE/FLEX
121309-103376,RB,Zach,Zach Charbonnet,Charbonnet,8.600000381469727,4,5900,SEA@JAC,SEA,JAC,,,,,,RB/FLEX
121309-166916,WR,Matthew,Matthew Golden,Golden,5.25,4,5800,CIN@GB,GB,CIN,,,,,,WR/FLEX
121309-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,6.919999694824218,5,5800,NE@NO,NE,NO,,,,,,RB/FLEX
121309-52436,TE,Mark,Mark Andrews,Andrews,7.1400001525878904,5,5800,LAR@BAL,BAL,LAR,,,,,,TE/FLEX
121309-170287,WR,Rashid,Rashid Shaheed,Shaheed,11.05999984741211,5,5800,NE@NO,NO,NE,,,,,,WR/FLEX
121309-55335,TE,David,David Njoku,Njoku,7.1,5,5700,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
121309-64555,WR,Calvin,Calvin Ridley,Ridley,7.540000152587891,5,5700,TEN@LV,TEN,LV,,,,,,WR/FLEX
121309-80289,WR,Kendrick,Kendrick Bourne,Bourne,8.725000381469727,4,5700,SF@TB,SF,TB,,,,,,WR/FLEX
121309-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,8.759999847412109,5,5700,NE@NO,NE,NO,,,,,,RB/FLEX
121309-91361,RB,Hassan,Hassan Haskins,Haskins,0.5,4,5600,LAC@MIA,LAC,MIA,,,,,,RB/FLEX
121309-91467,TE,Jake,Jake Tonges,Tonges,8.819999694824219,5,5600,SF@TB,SF,TB,,,,,,TE/FLEX
121309-90561,WR,Jerry,Jerry Jeudy,Jeudy,5.44000015258789,5,5600,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
121309-103252,RB,Zonovan,Zonovan Knight,Knight,2.9666665395100913,3,5600,ARI@IND,ARI,IND,,,,,,RB/FLEX
121309-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.099999904632568,4,5600,CIN@GB,GB,CIN,,,,,,WR/FLEX
121309-79970,WR,Cooper,Cooper Kupp,Kupp,6.519999694824219,5,5500,SEA@JAC,SEA,JAC,,,,,,WR/FLEX
121309-129305,WR,Josh,Josh Downs,Downs,5.5,5,5500,ARI@IND,IND,ARI,,,,,,WR/FLEX
121309-94579,RB,Emari,Emari Demercado,Demercado,3.799999952316284,4,5500,ARI@IND,ARI,IND,,,,,,RB/FLEX
121309-60957,WR,KaVontae,KaVontae Turpin,Turpin,7.425000190734863,4,5500,DAL@CAR,DAL,CAR,Q,Foot,,,,WR/FLEX
121309-137953,TE,AJ,AJ Barner,Barner,8.95999984741211,5,5500,SEA@JAC,SEA,JAC,,,,,,TE/FLEX
121309-103587,TE,Brenton,Brenton Strange,Strange,6.079999923706055,5,5400,SEA@JAC,JAC,SEA,Q,Hip,,,,TE/FLEX
121309-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,4.099999904632568,2,5400,SF@TB,TB,SF,,,,,,WR/FLEX
121309-128633,RB,Kimani,Kimani Vidal,Vidal,1.2000000476837158,2,5400,LAC@MIA,LAC,MIA,,,,,,RB/FLEX
121309-119653,WR,Kayshon,Kayshon Boutte,Boutte,7.259999847412109,5,5400,NE@NO,NE,NO,,,,,,WR/FLEX
121309-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,5.579999923706055,5,5400,SEA@JAC,JAC,SEA,,,,,,RB/FLEX
121309-184184,WR,Travis,Travis Hunter,Hunter,5.240000152587891,5,5400,SEA@JAC,JAC,SEA,,,,,,WR/FLEX
121309-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.259999847412109,5,5300,LAR@BAL,BAL,LAR,,,,,,WR/FLEX
121309-87432,WR,Cedric,Cedric Tillman,Tillman,7.025000095367432,4,5300,CLE@PIT,CLE,PIT,IR,Hamstring,,,,WR/FLEX
121309-172699,TE,Harold,Harold Fannin Jr.,Fannin Jr.,6.840000152587891,5,5300,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
121309-120657,RB,Kendre,Kendre Miller,Miller,5.279999923706055,5,5300,NE@NO,NO,NE,,,,,,RB/FLEX
121309-64808,TE,Juwan,Juwan Johnson,Johnson,8.019999694824218,5,5200,NE@NO,NO,NE,,,,,,TE/FLEX
121309-86312,WR,Alec,Alec Pierce,Pierce,7.200000127156575,3,5200,ARI@IND,IND,ARI,Q,Concussion,,,,WR/FLEX
121309-137516,WR,Parker,Parker Washington,Washington,6,5,5200,SEA@JAC,JAC,SEA,,,,,,WR/FLEX
121309-201233,WR,Ryan,Ryan Flournoy,Flournoy,8.366666793823242,3,5200,DAL@CAR,DAL,CAR,,,,,,WR/FLEX
121309-90870,WR,Calvin,Calvin Austin III,Austin III,7.724999904632568,4,5200,CLE@PIT,PIT,CLE,Q,Shoulder,,,,WR/FLEX
121309-90933,RB,Antonio,Antonio Gibson,Gibson,4.44000015258789,5,5200,NE@NO,NE,NO,O,Knee - acl,,,,RB/FLEX
121309-71521,RB,Justice,Justice Hill,Hill,7.459999847412109,5,5200,LAR@BAL,BAL,LAR,,,,,,RB/FLEX
121309-166112,RB,Ollie,Ollie Gordon II,Gordon II,2.6399999618530274,5,5100,LAC@MIA,MIA,LAC,,,,,,RB/FLEX
121309-120042,WR,Jalen,Jalen McMillan,McMillan,8.714285714285714,14,5100,SF@TB,TB,SF,IR,Neck,,,,WR/FLEX
121309-107293,RB,Tyjae,Tyjae Spears,Spears,1.399999976158142,1,5100,TEN@LV,TEN,LV,,,,,,RB/FLEX
121309-172861,WR,Elic,Elic Ayomanor,Ayomanor,7.180000305175781,5,5100,TEN@LV,TEN,LV,,,,,,WR/FLEX
121309-85845,WR,Rashod,Rashod Bateman,Bateman,4.44000015258789,5,5100,LAR@BAL,BAL,LAR,,,,,,WR/FLEX
121309-27477,WR,Sterling,Sterling Shepard,Shepard,6.740000152587891,5,5100,SF@TB,TB,SF,,,,,,WR/FLEX
121309-48116,TE,Jonnu,Jonnu Smith,Smith,5.025000095367432,4,5100,CLE@PIT,PIT,CLE,,,,,,TE/FLEX
121309-71705,TE,Noah,Noah Fant,Fant,6,3,5000,CIN@GB,CIN,GB,,,,,,TE/FLEX
121309-71845,RB,Miles,Miles Sanders,Sanders,5.675000190734863,4,5000,DAL@CAR,DAL,CAR,Q,Ankle,,,,RB/FLEX
121309-12533,D,Green Bay,Green Bay Packers,Packers,5,4,5000,CIN@GB,GB,CIN,,,,,,DEF
121309-93538,WR,Dyami,Dyami Brown,Brown,6.650000095367432,4,5000,SEA@JAC,JAC,SEA,,,,,,WR/FLEX
121309-38264,WR,Demarcus,Demarcus Robinson,Robinson,3.950000047683716,2,5000,SF@TB,SF,TB,,,,,,WR/FLEX
121309-110974,WR,Malik,Malik Washington,Washington,4.540000152587891,5,5000,LAC@MIA,MIA,LAC,,,,,,WR/FLEX
121309-45565,TE,Taysom,Taysom Hill,Hill,0.6600000262260437,1,5000,NE@NO,NO,NE,,,,,,TE/FLEX
121309-89612,WR,Michael,Michael Wilson,Wilson,3.0399999618530273,5,5000,ARI@IND,ARI,IND,,,,,,WR/FLEX
121309-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,11.600000381469727,4,5000,CLE@PIT,PIT,CLE,,,,,,RB/FLEX
